Site,Time,BM_SMX [%],CoM_SMX [%],DOC_SMX [%],BM_Nit [%],CoM_Nit [%],BM_DeA [%],CoM_DeA [%]
HA,27.7,2.420825100698267,97.57917489930172,0.020262062123014006,92.51792645149902,7.482073548500981,43.893618729238995,56.106381270761005
HA,27.8,2.42089435729623,97.57910564270377,0.020120845553647633,92.59307090952923,7.406929090470779,43.93924047951459,56.060759520485426
HA,27.9,2.420922696138347,97.57907730386165,0.01997946861660985,92.66795650143439,7.332043498565616,43.984163061808054,56.015836938191946
HA,28.0,2.4209264086294535,97.57907359137054,0.01983817150043675,92.74262093659289,7.257379063407118,44.029626954253935,55.97037304574607
HA,28.1,2.4209259320780907,97.57907406792191,0.019696758719979737,92.81721836637222,7.182781633627794,44.07566357539592,55.92433642460408
HA,28.2,2.420995433378648,97.57900456662135,0.019556187222992908,92.891543718286,7.108456281714015,44.121651547710826,55.878348452289174
HA,28.3,2.42104617754311,97.57895382245688,0.01941537320707295,92.96594259465945,7.034057405340542,44.167913293681316,55.83208670631868
HA,28.4,2.4210919771304624,97.57890802286954,0.019274812882913595,93.04005521001521,6.959944789984801,44.214407723485635,55.78559227651437
HA,28.5,2.421088232247757,97.57891176775225,0.019134465549723534,93.1139281860817,6.886071813918298,44.261092058973425,55.738907941026575
HA,28.6,2.4211899938405317,97.57881000615947,0.01899462410955089,93.18785399351961,6.812146006480391,44.30807584593867,55.69192415406133
HA,28.7,2.4212449980746067,97.5787550019254,0.018854661519273834,93.26147752608675,6.738522473913249,44.35495433193054,55.64504566806946
HA,28.8,2.4212868468648856,97.57871315313513,0.018714927015455296,93.33479340049642,6.665206599503577,44.40205019867044,55.59794980132956
HA,28.9,2.4213120250646867,97.57868797493532,0.01857543375746744,93.40785528318126,6.592144716818736,44.44935920491946,55.55064079508053
HA,29.0,2.4214419995178047,97.57855800048219,0.01843647139614135,93.48094272626824,6.51905727373175,44.49727044205052,55.50272955794947
HA,29.1,2.421444096480269,97.57855590351973,0.01829715309727836,93.55370695626625,6.446293043733742,44.545027440198105,55.45497255980189
HA,29.2,2.421514442933289,97.57848555706671,0.018158387504592356,93.62634347522261,6.373656524777391,44.593020236300696,55.40697976369929
HA,29.3,2.4216076141091167,97.5783923858909,0.018019894789134846,93.69878157732924,6.301218422670761,44.64159840548358,55.358401594516415
HA,29.4,2.4216510210733158,97.57834897892667,0.01788136056719885,93.77074455555794,6.229255444442066,44.68972760912832,55.31027239087168
HA,29.5,2.4218021925688755,97.57819780743112,0.01774377358447945,93.84256484889993,6.157435151100078,44.738396667447525,55.261603332552475
HA,29.6,2.4218233949246026,97.5781766050754,0.017605858098074946,93.91416690908468,6.085833090915313,44.78721620784077,55.212783792159236
HA,29.7,2.4219485651819483,97.57805143481805,0.017468568233560952,93.98548478467671,6.0145152153232795,44.8365640440897,55.1634359559103
HA,29.8,2.4220541340056743,97.57794586599432,0.017331534921985567,94.05657152623483,5.943428473765168,44.88555184905976,55.114448150940255
HA,29.9,2.4221582256265175,97.57784177437348,0.017194573030650116,94.12761851083272,5.872381489167285,44.935027278142506,55.064972721857494
HA,30.0,2.4222381746824713,97.57776182531754,0.0170579049025411,94.19816775261674,5.801832247383265,44.984667311790226,55.015332688209774
TA,0.0,0.0,100.0,0.0,nan,nan,nan,nan
TA,0.0,0.0,100.0,0.0,nan,nan,nan,nan
TA,0.0,0.0,100.0,0.0,nan,nan,nan,nan
TA,0.1,2.6014876445170585,97.39851235548294,0.05656652275592019,99.17686392187751,0.8231360781224917,99.91613705179415,0.08386294820584464
TA,0.2,2.6086478321708495,97.39135216782915,0.05661983171601292,98.54976475104135,1.4502352489586632,99.8256999717162,0.1743000282837889
TA,0.3,2.617464710933645,97.38253528906637,0.056674518193204085,98.07559627821803,1.9244037217819674,99.73105335506325,0.2689466449367494
TA,0.4,2.627714915037566,97.37228508496243,0.056729496444420414,97.69506656644039,2.304933433559617,99.63276508269952,0.3672349173004837
TA,0.5,2.639252760784007,97.360747239216,0.05678237281490568,97.37477575683198,2.625224243168028,99.53147068368528,0.4685293163147099
